date,tiker,close
2021-04-21,6050,55.1
2021-04-22,6050,54.9
2021-04-25,6050,54.5
2021-04-26,6050,54.0
2021-04-27,6050,54.0
2021-04-28,6050,53.2
2021-04-29,6050,53.1
2021-05-02,6050,53.1
2021-05-03,6050,53.5
2021-05-04,6050,53.9
2021-05-05,6050,53.3
2021-05-06,6050,52.9
2021-01-03,6060,99.7
2021-01-04,6060,98.9
2021-01-05,6060,97.6
2021-01-06,6060,98.4
2021-01-07,6060,97.8
2021-01-10,6060,98.8
2021-01-11,6060,99.0
2021-01-12,6060,98.7
2021-01-13,6060,108.4
2021-01-14,6060,108.6
2021-01-17,6060,111.0
2021-01-18,6060,110.4
2021-01-19,6060,113.0
2021-01-20,6060,111.4
2021-01-21,6060,112.4
2021-01-24,6060,111.2
2021-01-25,6060,110.8
2021-01-26,6060,110.2
2021-01-27,6060,108.4
2021-01-28,6060,109.6
2021-01-31,6060,109.6
2021-02-01,6060,109.6
2021-02-02,6060,111.4
2021-02-03,6060,107.8
2021-02-04,6060,105.2
2021-02-07,6060,106.6
2021-02-08,6060,117.2
2021-02-09,6060,116.8
2021-02-10,6060,114.0
2021-02-11,6060,114.0
2021-02-14,6060,115.2
2021-02-15,6060,119.0
2021-02-16,6060,119.0
2021-02-17,6060,115.4
2021-02-18,6060,115.0
2021-02-21,6060,116.2
2021-02-22,6060,119.8
2021-02-23,6060,120.4
2021-02-24,6060,114.2
2021-02-25,6060,115.8
2021-02-28,6060,113.6
2021-03-01,6060,111.0
2021-03-02,6060,110.6
2021-03-03,6060,112.8
2021-03-04,6060,110.8
2021-03-07,6060,110.8
2021-03-08,6060,109.4
2021-03-09,6060,108.0
2021-03-10,6060,106.4
2021-03-11,6060,106.8
2021-03-14,6060,108.6
2021-03-15,6060,108.0
2021-03-16,6060,105.4
2021-03-17,6060,105.4
2021-03-18,6060,105.8
2021-03-21,6060,110.8
2021-03-22,6060,108.2
2021-03-23,6060,107.8
2021-03-24,6060,107.0
2021-03-25,6060,109.2
2021-03-28,6060,112.0
2021-03-29,6060,111.0
2021-03-30,6060,110.6
2021-03-31,6060,109.0
2021-04-01,6060,111.2
2021-04-04,6060,110.6
2021-04-05,6060,110.4
2021-04-06,6060,111.0
2021-04-07,6060,110.2
2021-04-08,6060,110.0
2021-04-11,6060,108.4
2021-04-12,6060,108.6
2021-04-13,6060,108.0
2021-04-14,6060,108.0
2021-04-15,6060,108.0
2021-04-18,6060,108.0
2021-04-19,6060,107.2
2021-04-20,6060,106.4
2021-04-21,6060,106.2
2021-04-22,6060,105.4
2021-04-25,6060,101.0
2021-04-26,6060,96.8
2021-04-27,6060,96.1
2021-04-28,6060,97.2
2021-04-29,6060,95.5
2021-05-02,6060,93.6
2021-05-03,6060,97.1
2021-05-04,6060,95.9
2021-05-05,6060,95.5
2021-05-06,6060,95.6
2021-01-03,6070,36.45
2021-01-04,6070,36.55
2021-01-05,6070,36.3
2021-01-06,6070,36.3
2021-01-07,6070,36.3
2021-01-10,6070,37.5
2021-01-11,6070,38.5
2021-01-12,6070,38.7
2021-01-13,6070,38.2
2021-01-14,6070,37.6
2021-01-17,6070,37.3
2021-01-18,6070,37.6
2021-01-19,6070,37.4
2021-01-20,6070,37.2
2021-01-21,6070,37.25
2021-01-24,6070,37.3
2021-01-25,6070,37.35
2021-01-26,6070,37.15
2021-01-27,6070,38.15
2021-01-28,6070,38.5
2021-01-31,6070,38.7
2021-02-01,6070,38.2
2021-02-02,6070,38.95
2021-02-03,6070,39.4
2021-02-04,6070,43.3
2021-02-07,6070,44.0
2021-02-08,6070,48.4
2021-02-09,6070,53.2
2021-02-10,6070,58.5
2021-02-11,6070,58.9
2021-02-14,6070,64.7
2021-02-15,6070,64.9
2021-02-16,6070,66.4
2021-02-17,6070,64.0
2021-02-18,6070,67.5
2021-02-21,6070,68.8
2021-02-22,6070,75.6
2021-02-23,6070,74.5
2021-02-24,6070,67.1
2021-02-25,6070,73.2
2021-02-28,6070,79.9
2021-03-01,6070,77.0
2021-03-02,6070,74.5
2021-03-03,6070,79.3
2021-03-04,6070,77.7
2021-03-07,6070,77.2
2021-03-08,6070,80.8
2021-03-09,6070,81.0
2021-03-10,6070,79.8
2021-03-11,6070,80.8
2021-03-14,6070,81.9
2021-03-15,6070,85.5
2021-03-16,6070,80.1
2021-03-17,6070,74.2
2021-03-18,6070,75.2
2021-03-21,6070,82.7
2021-03-22,6070,81.7
2021-03-23,6070,84.7
2021-03-24,6070,84.0
2021-03-25,6070,84.1
2021-03-28,6070,86.0
2021-03-29,6070,83.0
2021-03-30,6070,80.7
2021-03-31,6070,81.9
2021-04-01,6070,86.9
2021-04-04,6070,91.3
2021-04-05,6070,87.4
2021-04-06,6070,86.1
2021-04-07,6070,86.4
2021-04-08,6070,87.4
2021-04-11,6070,86.0
2021-04-12,6070,89.2
2021-04-13,6070,89.7
2021-04-14,6070,91.2
2021-04-15,6070,93.5
2021-04-18,6070,97.0
2021-04-19,6070,98.5
2021-04-20,6070,98.5
2021-04-21,6070,96.0
2021-04-22,6070,93.2
2021-04-25,6070,92.6
2021-04-26,6070,89.8
2021-04-27,6070,91.2
2021-04-28,6070,91.2
2021-04-29,6070,92.0
2021-05-02,6070,94.1
2021-05-03,6070,95.4
2021-05-04,6070,95.4
2021-05-05,6070,94.8
2021-05-06,6070,93.5
2021-01-03,6090,16.32
2021-01-04,6090,16.34
2021-01-05,6090,16.02
2021-01-06,6090,16.02
2021-01-07,6090,16.14
2021-01-10,6090,16.2
2021-01-11,6090,16.34
